query_id,log2FC,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
CM_cdhit-1_transcript_45901,-21.517265535811603,205922.Pfl01_4247,2.29e-111,365,"COG2931@1|root,COG2931@2|Bacteria,1MU7T@1224|Proteobacteria,1RUVZ@1236|Gammaproteobacteria,1YSDK@136843|Pseudomonas fluorescens group",1236|Gammaproteobacteria,Q,Haemolysin-type calcium-binding repeat (2 copies),-,-,-,-,-,-,-,-,-,-,-,-,HemolysinCabind
CM_cdhit-1_transcript_46016,-20.037491655413007,90371.CY43_15475,7.61e-7,50.8,"28UJ3@1|root,2ZGPQ@2|Bacteria,1P6BD@1224|Proteobacteria,1STWP@1236|Gammaproteobacteria",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_46950,-20.930371256807472,236814.IX39_18990,9.259999999999999e-90,279,"29VE2@1|root,30GUS@2|Bacteria,4NP29@976|Bacteroidetes,1I29M@117743|Flavobacteriia,3ZP27@59732|Chryseobacterium",976|Bacteroidetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_47614,-21.3059727582991,218491.ECA1280,5.77e-132,383,"COG0400@1|root,COG0400@2|Bacteria,1RA02@1224|Proteobacteria,1RN9I@1236|Gammaproteobacteria,1MRBQ@122277|Pectobacterium",1236|Gammaproteobacteria,S,Phospholipase/Carboxylesterase,ypfH,"GO:0003674,GO:0003824,GO:0016787,GO:0016788,GO:0052689",-,ko:K06999,-,-,-,-,ko00000,-,-,-,Abhydrolase_2
CM_cdhit-1_transcript_48023,-21.31955435673457,1121287.AUMU01000005_gene3286,3.55e-206,575,"COG0300@1|root,COG0300@2|Bacteria,4NN9E@976|Bacteroidetes,1I0W6@117743|Flavobacteriia,3ZQNG@59732|Chryseobacterium",976|Bacteroidetes,S,Belongs to the short-chain dehydrogenases reductases (SDR) family,-,-,-,-,-,-,-,-,-,-,-,-,adh_short
CM_cdhit-1_transcript_49333,-21.062547753000633,525257.HMPREF0204_14671,6.069999999999999e-157,459,"COG0442@1|root,COG0442@2|Bacteria,4NEAF@976|Bacteroidetes,1HXK2@117743|Flavobacteriia,3ZNIZ@59732|Chryseobacterium",976|Bacteroidetes,J,Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro),proS,-,6.1.1.15,ko:K01881,"ko00970,map00970","M00359,M00360",R03661,"RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",-,-,-,"HGTP_anticodon,ProRS-C_1,tRNA-synt_2b"
CM_cdhit-1_transcript_49413,-21.41499188003864,1198452.Jab_1c03690,4.79e-83,248,"COG1764@1|root,COG1764@2|Bacteria,1RD1A@1224|Proteobacteria,2VR4T@28216|Betaproteobacteria,474E1@75682|Oxalobacteraceae",28216|Betaproteobacteria,O,OsmC-like protein,ohr,-,-,-,-,-,-,-,-,-,-,-,OsmC
CM_cdhit-1_transcript_49565,-21.431687908042694,205922.Pfl01_4989,4.469999999999999e-158,459,"COG1012@1|root,COG1012@2|Bacteria,1MU1V@1224|Proteobacteria,1RMBQ@1236|Gammaproteobacteria,1YMVX@136843|Pseudomonas fluorescens group",1236|Gammaproteobacteria,C,Belongs to the aldehyde dehydrogenase family,aldB,-,1.2.1.3,"ko:K00128,ko:K00138","ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130",M00135,"R00264,R00631,R00710,R00711,R00904,R01752,R01986,R02549,R02678,R02940,R02957,R03283,R03869,R04065,R04506,R04903,R05050,R05237,R05238,R05286,R06366,R08146","RC00047,RC00071,RC00080,RC00186,RC00218,RC00242,RC00816,RC01500","ko00000,ko00001,ko00002,ko01000",-,-,-,Aldedh
CM_cdhit-1_transcript_49823,-21.282873802944085,236814.IX39_00515,0,1649,"COG4206@1|root,COG4206@2|Bacteria,4NZWU@976|Bacteroidetes,1I86Y@117743|Flavobacteriia,3ZQAM@59732|Chryseobacterium",976|Bacteroidetes,P,TonB-dependent Receptor Plug Domain,-,-,-,-,-,-,-,-,-,-,-,-,"CarbopepD_reg_2,Plug,TonB_dep_Rec"
CM_cdhit-1_transcript_50440,-21.12545510517075,1166016.W5S_4288,0,986,"COG0578@1|root,COG0578@2|Bacteria,1MUMY@1224|Proteobacteria,1RMGP@1236|Gammaproteobacteria,1MS79@122277|Pectobacterium",1236|Gammaproteobacteria,C,Belongs to the FAD-dependent glycerol-3-phosphate dehydrogenase family,glpD,"GO:0000166,GO:0003674,GO:0003824,GO:0004368,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0005887,GO:0006072,GO:0006091,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009055,GO:0009056,GO:0009331,GO:0009987,GO:0016020,GO:0016021,GO:0016491,GO:0016614,GO:0016901,GO:0019637,GO:0022900,GO:0031224,GO:0031226,GO:0032991,GO:0036094,GO:0043167,GO:0043168,GO:0044237,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0046168,GO:0046434,GO:0048037,GO:0050660,GO:0050662,GO:0052590,GO:0052646,GO:0055114,GO:0071704,GO:0071944,GO:0071949,GO:0097159,GO:1901135,GO:1901136,GO:1901265,GO:1901363,GO:1901575,GO:1902494,GO:1990204",1.1.5.3,ko:K00111,"ko00564,ko01110,map00564,map01110",-,R00848,RC00029,"ko00000,ko00001,ko01000",-,-,iSSON_1240.SSON_3663,"DAO,DAO_C"
CM_cdhit-1_transcript_50791,-21.222181147470916,236814.IX39_01545,1.52e-108,332,"COG0482@1|root,COG0482@2|Bacteria,4NFXZ@976|Bacteroidetes,1HWQ1@117743|Flavobacteriia,3ZPVN@59732|Chryseobacterium",976|Bacteroidetes,J,"Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34",mnmA,-,2.8.1.13,ko:K00566,"ko04122,map04122",-,R08700,"RC02313,RC02315","ko00000,ko00001,ko01000,ko03016",-,-,-,tRNA_Me_trans
CM_cdhit-1_transcript_50850,-21.243348086830444,78398.KS43_18215,3.31e-67,210,"COG3027@1|root,COG3027@2|Bacteria,1N6YN@1224|Proteobacteria,1SCBI@1236|Gammaproteobacteria,1MSKI@122277|Pectobacterium",1236|Gammaproteobacteria,D,"Activator of cell division through the inhibition of FtsZ GTPase activity, therefore promoting FtsZ assembly into bundles of protofilaments necessary for the formation of the division Z ring. It is recruited early at mid-cell but it is not essential for cell division",zapA,"GO:0000003,GO:0000278,GO:0000281,GO:0000910,GO:0000917,GO:0000921,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006996,GO:0007010,GO:0007049,GO:0008150,GO:0009987,GO:0016043,GO:0019954,GO:0022402,GO:0022414,GO:0022607,GO:0030428,GO:0031106,GO:0032153,GO:0032185,GO:0032505,GO:0032506,GO:0034622,GO:0042802,GO:0043093,GO:0043933,GO:0044085,GO:0044424,GO:0044444,GO:0044464,GO:0051301,GO:0061640,GO:0065003,GO:0070925,GO:0071840,GO:0090529,GO:1902410,GO:1903047",-,ko:K09888,-,-,-,-,"ko00000,ko03036",-,-,-,ZapA
CM_cdhit-1_transcript_50881,-21.517265535811603,62977.ACIAD2103,2.91e-136,389,"COG0450@1|root,COG0450@2|Bacteria,1MWPY@1224|Proteobacteria,1RN4S@1236|Gammaproteobacteria,3NIQ5@468|Moraxellaceae",1236|Gammaproteobacteria,O,Alkyl hydroperoxide reductase,ahpC,"GO:0003674,GO:0003824,GO:0004601,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006873,GO:0006875,GO:0006879,GO:0006950,GO:0006979,GO:0007154,GO:0008150,GO:0008152,GO:0009267,GO:0009321,GO:0009605,GO:0009636,GO:0009970,GO:0009987,GO:0009991,GO:0010033,GO:0016209,GO:0016491,GO:0016667,GO:0016671,GO:0016684,GO:0019725,GO:0030003,GO:0031667,GO:0031668,GO:0031669,GO:0032843,GO:0032991,GO:0033194,GO:0033195,GO:0033212,GO:0033214,GO:0033554,GO:0042221,GO:0042592,GO:0042594,GO:0042802,GO:0044424,GO:0044444,GO:0044464,GO:0046916,GO:0048878,GO:0050801,GO:0050896,GO:0051716,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0055114,GO:0065007,GO:0065008,GO:0070887,GO:0071496,GO:0097237,GO:0098754,GO:0098771,GO:0098869,GO:1901700,GO:1902494,GO:1990204,GO:1990748",1.11.1.15,ko:K03386,"ko04214,map04214",-,-,-,"ko00000,ko00001,ko01000,ko04147",-,-,-,"1-cysPrx_C,AhpC-TSA"
CM_cdhit-1_transcript_50968,-21.024451202247334,1121285.AUFK01000018_gene610,1.84e-78,238,"COG1278@1|root,COG1278@2|Bacteria,4NNNH@976|Bacteroidetes,1I1ZM@117743|Flavobacteriia,3ZRPQ@59732|Chryseobacterium",976|Bacteroidetes,K,Cold-shock protein,cspG,-,-,-,-,-,-,-,-,-,-,-,CSD
CM_cdhit-1_transcript_51012,-21.071919472982263,78398.KS43_09810,0,932,"COG0195@1|root,COG0195@2|Bacteria,1MWT7@1224|Proteobacteria,1RNQS@1236|Gammaproteobacteria,1MQV0@122277|Pectobacterium",1236|Gammaproteobacteria,K,Participates in both transcription termination and antitermination,nusA,"GO:0001000,GO:0001121,GO:0001125,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006353,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019899,GO:0019904,GO:0031323,GO:0031326,GO:0031554,GO:0031564,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043175,GO:0043244,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050789,GO:0050794,GO:0051128,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0070063,GO:0071704,GO:0080090,GO:0090304,GO:0097659,GO:1901360,GO:1901362,GO:1901576,GO:1903506,GO:2000112,GO:2001141",-,ko:K02600,-,-,-,-,"ko00000,ko03009,ko03021",-,-,-,"HHH_5,KH_5,NusA_N,S1"
CM_cdhit-1_transcript_51071,-11.861506397860385,1392490.JHZX01000001_gene418,2.4199999999999997e-40,143,"2B9ZZ@1|root,323DM@2|Bacteria,4NTEB@976|Bacteroidetes,1I2YU@117743|Flavobacteriia",976|Bacteroidetes,S,COG NOG15344 non supervised orthologous group,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_52311,-21.431687908042694,561230.PC1_2919,1.6799999999999995e-235,652,"COG1840@1|root,COG1840@2|Bacteria,1MUEG@1224|Proteobacteria,1RQ6Z@1236|Gammaproteobacteria,1MQ1K@122277|Pectobacterium",1236|Gammaproteobacteria,P,Bacterial extracellular solute-binding protein,fbpA,-,-,ko:K02012,"ko02010,map02010",M00190,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.10,-,-,"SBP_bac_6,SBP_bac_8"
CM_cdhit-1_transcript_54097,-21.137511550687435,78398.KS43_16490,2.54e-140,410,"COG3073@1|root,COG3073@2|Bacteria,1R4U0@1224|Proteobacteria,1RN98@1236|Gammaproteobacteria,1MR70@122277|Pectobacterium",1236|Gammaproteobacteria,T,"An anti-sigma factor for extracytoplasmic function (ECF) sigma factor sigma-E (RpoE). ECF sigma factors are held in an inactive form by an anti-sigma factor until released by regulated intramembrane proteolysis (RIP). RIP occurs when an extracytoplasmic signal triggers a concerted proteolytic cascade to transmit information and elicit cellular responses. The membrane-spanning regulatory substrate protein is first cut periplasmically (site-1 protease, S1P, DegS), then within the membrane itself (site-2 protease, S2P, RseP), while cytoplasmic proteases finish degrading the anti-sigma factor, liberating sigma-E",rseA,"GO:0000988,GO:0000989,GO:0003674,GO:0008150,GO:0009889,GO:0010556,GO:0016989,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0140110,GO:1903506,GO:2001141",-,ko:K03597,-,-,-,-,"ko00000,ko03021",-,-,-,"RseA_C,RseA_N"
CM_cdhit-1_transcript_54526,-21.11327262830988,1006000.GKAS_03700,2.9799999999999995e-238,656,"COG1613@1|root,COG1613@2|Bacteria,1MUAU@1224|Proteobacteria,1RMAR@1236|Gammaproteobacteria",1236|Gammaproteobacteria,P,sulfate ABC transporter,sbp,"GO:0003674,GO:0005488,GO:0005575,GO:0005623,GO:0006790,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0008152,GO:0008272,GO:0009987,GO:0015698,GO:0030288,GO:0030313,GO:0031975,GO:0042597,GO:0043167,GO:0043168,GO:0043199,GO:0044237,GO:0044464,GO:0051179,GO:0051234,GO:0072348,GO:1901681",-,ko:K02048,"ko00920,ko02010,map00920,map02010",M00185,-,-,"ko00000,ko00001,ko00002,ko02000","3.A.1.6.1,3.A.1.6.3",-,ic_1306.c4869,SBP_bac_11
CM_cdhit-1_transcript_57261,-7.452883498843825,1122971.BAME01000164_gene6632,1.57e-16,80.1,"2B2PH@1|root,31V97@2|Bacteria,4P7QK@976|Bacteroidetes,2FZV0@200643|Bacteroidia",976|Bacteroidetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_57599,-9.695962141943061,1403948.Q618_VCMC00001G0061,1.01e-26,118,"2DX7X@1|root,32V2Y@2|Bacteria",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_57667,-8.39518959611932,1453505.JASY01000008_gene948,2.6099999999999996e-37,134,"2DNPH@1|root,32YF1@2|Bacteria,4NVUP@976|Bacteroidetes,1IIC9@117743|Flavobacteriia",976|Bacteroidetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_72978,-8.109071729547106,1121912.AUHD01000035_gene1858,4.9900000000000006e-21,86.7,"2DRUD@1|root,33D3V@2|Bacteria,4NY0I@976|Bacteroidetes,1I6KN@117743|Flavobacteriia",976|Bacteroidetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_81855,-8.585279857575388,886379.AEWI01000053_gene2706,1.4800000000000002e-21,92.4,"2B2PH@1|root,31V97@2|Bacteria,4P7QK@976|Bacteroidetes,2FZV0@200643|Bacteroidia",976|Bacteroidetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_81950,-11.255028426975397,1403948.Q618_VCMC00001G0061,3.45e-19,98.6,"2DX7X@1|root,32V2Y@2|Bacteria",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_82068,-8.018526797209566,762968.HMPREF9441_00776,9.42e-33,125,"2DNPH@1|root,32YF1@2|Bacteria,4NVUP@976|Bacteroidetes,2FZDB@200643|Bacteroidia",976|Bacteroidetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_82805,-10.066198680846943,498761.HM1_3128,7.2e-40,137,"2B9ZZ@1|root,323DM@2|Bacteria,1V6N4@1239|Firmicutes,24K1H@186801|Clostridia",186801|Clostridia,S,COG NOG15344 non supervised orthologous group,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_90177,-10.444119767866772,4113.PGSC0003DMT400086496,2.6299999999999996e-37,146,"COG0048@1|root,KOG1750@2759|Eukaryota",2759|Eukaryota,J,structural constituent of ribosome,rps12,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009507,GO:0009536,GO:0009987,GO:0010467,GO:0019538,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02950,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosom_S12_S23
CM_cdhit-1_transcript_93808,-7.759284376484949,1453505.JASY01000008_gene948,1.07e-61,192,"2DNPH@1|root,32YF1@2|Bacteria,4NVUP@976|Bacteroidetes,1IIC9@117743|Flavobacteriia",976|Bacteroidetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_104778,22.538773754570276,1506583.JQJY01000005_gene2413,2.54e-137,407,"COG0480@1|root,COG0480@2|Bacteria,4NE9X@976|Bacteroidetes,1HY04@117743|Flavobacteriia,2NSZ9@237|Flavobacterium",976|Bacteroidetes,J,"Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome",fusA,-,-,ko:K02355,-,-,-,-,"ko00000,ko03012,ko03029",-,-,-,"EFG_C,EFG_II,EFG_IV,GTP_EFTU,GTP_EFTU_D2"
CM_cdhit-1_transcript_106160,-7.255914978021076,1550091.JROE01000033_gene1250,2.46e-41,140,"2DN6A@1|root,32VST@2|Bacteria,4NUDU@976|Bacteroidetes,1IYDQ@117747|Sphingobacteriia",976|Bacteroidetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_109329,-10.133391586623766,45351.EDO32481,8.07e-10,61.2,"2E0DG@1|root,2S7U6@2759|Eukaryota,3AB1N@33154|Opisthokonta,3BV1R@33208|Metazoa",33208|Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_128111,-11.489554461755034,159749.K0S109,1.6500000000000002e-26,107,"2CZQV@1|root,2SBAE@2759|Eukaryota",2759|Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_128248,-9.614778883420872,1193181.BN10_1300016,2.12e-19,84.7,"2DSQW@1|root,33H3S@2|Bacteria,2GTIV@201174|Actinobacteria",201174|Actinobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_128377,12.750362710845597,196164.23493383,7.34e-26,105,"29WRJ@1|root,30ICM@2|Bacteria,2H09C@201174|Actinobacteria",201174|Actinobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_128661,-7.7052825950370964,1392489.JPOL01000002_gene1189,2.94e-22,90.9,"2EH3B@1|root,33AVB@2|Bacteria,4NXP5@976|Bacteroidetes,1I6KT@117743|Flavobacteriia,2XKF9@283735|Leeuwenhoekiella",976|Bacteroidetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_128668,-8.490500851814303,1203606.HMPREF1526_02587,3.94e-16,77.4,"2DPDN@1|root,331NP@2|Bacteria,1VFF8@1239|Firmicutes,24S9D@186801|Clostridia,36VF0@31979|Clostridiaceae",186801|Clostridia,S,ORF located using Blastx,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_153125,-9.103572216046832,1193181.BN10_1300016,8.07e-5,49.3,"2DSQW@1|root,33H3S@2|Bacteria,2GTIV@201174|Actinobacteria",201174|Actinobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_153181,-8.49808922825134,1410676.JNKL01000108_gene1988,5.23e-47,155,"2DMHR@1|root,32RMI@2|Bacteria",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_170692,21.766592858950258,376686.Fjoh_4501,6.73e-57,182,"COG2968@1|root,COG2968@2|Bacteria,4NPHH@976|Bacteroidetes,1I26H@117743|Flavobacteriia,2NSPD@237|Flavobacterium",976|Bacteroidetes,S,Protein of unknown function (DUF541),-,-,-,ko:K09807,-,-,-,-,ko00000,-,-,-,SIMPL
CM_cdhit-1_transcript_172395,-8.82726420210303,1115515.EV102420_45_00015,1.07e-45,148,"2DRVE@1|root,33D8G@2|Bacteria,1P1ND@1224|Proteobacteria",1224|Proteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_177329,10.278339504401755,2880.D7FL82,2.72e-16,74.7,"2E3VD@1|root,2SAV9@2759|Eukaryota",2759|Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_177472,22.226905710374282,7029.ACYPI080706-PA,2.95e-7,57.8,"2E1I0@1|root,2S8UZ@2759|Eukaryota,3A9DK@33154|Opisthokonta,3BV6P@33208|Metazoa",7029.ACYPI080706-PA|-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_182419,-7.385847550966843,428127.EUBDOL_00582,4.15e-6,51.2,"2ED08@1|root,336X7@2|Bacteria,1VI3E@1239|Firmicutes",1239|Firmicutes,S,non supervised orthologous group,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_182544,-9.733659228881033,1131812.JQMS01000001_gene10,1.4e-25,100,"2EH3B@1|root,33AVB@2|Bacteria,4NXP5@976|Bacteroidetes,1I6KT@117743|Flavobacteriia,2NWVF@237|Flavobacterium",976|Bacteroidetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_187080,-8.95997611972987,1430440.MGMSRv2_1983,2.9e-22,100,"2DNPH@1|root,32YF1@2|Bacteria,1NARM@1224|Proteobacteria,2UJNP@28211|Alphaproteobacteria",28211|Alphaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_187268,-7.106601643095578,1453505.JASY01000008_gene948,5.15e-23,95.9,"2DNPH@1|root,32YF1@2|Bacteria,4NVUP@976|Bacteroidetes,1IIC9@117743|Flavobacteriia",976|Bacteroidetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_187425,-10.187635804272338,1175306.GWL_36790,4.999999999999998e-237,669,"COG3203@1|root,COG3203@2|Bacteria,1R9DF@1224|Proteobacteria,2VH5X@28216|Betaproteobacteria,4763Q@75682|Oxalobacteraceae",28216|Betaproteobacteria,M,Outer membrane protein (Porin),-,-,-,-,-,-,-,-,-,-,-,-,Porin_4
CM_cdhit-1_transcript_187426,-9.740821340781999,1175306.GWL_36790,2.34e-188,545,"COG3203@1|root,COG3203@2|Bacteria,1R9DF@1224|Proteobacteria,2VH5X@28216|Betaproteobacteria,4763Q@75682|Oxalobacteraceae",28216|Betaproteobacteria,M,Outer membrane protein (Porin),-,-,-,-,-,-,-,-,-,-,-,-,Porin_4
CM_cdhit-1_transcript_187524,-21.071919472982263,411460.RUMTOR_00908,1.15e-14,78.6,"2ED08@1|root,336X7@2|Bacteria,1VI3E@1239|Firmicutes,24TJC@186801|Clostridia,3Y1X1@572511|Blautia",186801|Clostridia,S,COG NOG20805 non supervised orthologous group,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_187531,-9.418974923716599,3880.AES97354,9.999999999999999e-64,222,"KOG4853@1|root,KOG4853@2759|Eukaryota,37UN2@33090|Viridiplantae,3GJA7@35493|Streptophyta",35493|Streptophyta,S,mitotic sister chromatid biorientation,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_191176,-8.809627451501354,1453505.JASY01000008_gene954,1.3000000000000002e-28,105,"2DRUD@1|root,33D3V@2|Bacteria,4NY0I@976|Bacteroidetes,1I6KN@117743|Flavobacteriia,2NY5F@237|Flavobacterium",976|Bacteroidetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_212719,-7.328480953972158,1124780.ANNU01000014_gene3894,6.69e-20,85.5,"2ABF6@1|root,310W3@2|Bacteria,4NYJ8@976|Bacteroidetes",976|Bacteroidetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_212730,-9.227370269922073,748671.LCRIS_00061,1.17e-40,143,"2DPM9@1|root,332MQ@2|Bacteria,1VGFB@1239|Firmicutes",1239|Firmicutes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_212938,-6.963011762728598,498761.HM1_3148,6.389999999999999e-32,119,"2DN97@1|root,32W7A@2|Bacteria,1VANB@1239|Firmicutes,24Q9J@186801|Clostridia",186801|Clostridia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_222016,8.347268236326322,7029.ACYPI061343-PA,1.22e-5,50.1,"29K1R@1|root,2RTAM@2759|Eukaryota,39YR1@33154|Opisthokonta,3BPA4@33208|Metazoa",33208|Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_227695,-7.885988293686289,1120966.AUBU01000030_gene2984,3.2799999999999997e-57,183,"29YB4@1|root,30K5C@2|Bacteria,4PB90@976|Bacteroidetes,47VG6@768503|Cytophagia",976|Bacteroidetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_227746,9.696869977081024,498761.HM1_3125,2.5000000000000002e-22,91.3,"2DSV3@1|root,33HII@2|Bacteria,1VQ64@1239|Firmicutes,24VWA@186801|Clostridia",186801|Clostridia,S,ORF located using Blastx,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_228048,-8.873684064533524,1229487.AMYW01000066_gene3590,5.67e-40,135,"2DSTI@1|root,33HD4@2|Bacteria,4NYHV@976|Bacteroidetes,1I61B@117743|Flavobacteriia,2NX9A@237|Flavobacterium",976|Bacteroidetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_246601,8.518532469508518,63577.G9NKZ9,2.79e-16,75.1,"2E13Y@1|root,2S8GD@2759|Eukaryota,3ACAZ@33154|Opisthokonta,3PFD1@4751|Fungi",4751|Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_247705,8.289131153672257,31870.EFQ36859,5.84e-12,61.6,"2CZZD@1|root,2SC7R@2759|Eukaryota,3AD5M@33154|Opisthokonta,3PZZM@4751|Fungi,3RPYS@4890|Ascomycota,21NA2@147550|Sordariomycetes,1F6BD@1028384|Glomerellales",4751|Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
